model,id,MC1,MN1,MN2,point_id,run_key,runtime_s,returncode,xsec_pb,xsec_err_pb,order,xsec_NNLO_NNLL_pb,xsec_NNLO_NNLL_err_pb,status,log
higgsino_N2C1plus_13p6,mc1_100_mn1_99p7_mn2_100p3,100,99.7,100.3,mc1_100_mn1_99p7_mn2_100p3,higgsino_N2C1plus_13p6::mc1_100_mn1_99p7_mn2_100p3,24.2,0,3.7620625,0.0028988196,NNLO+NNLL,3.7620625,0.0028988196,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_99p7_mn2_100p3/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_99p6_mn2_100p4,100,99.6,100.4,mc1_100_mn1_99p6_mn2_100p4,higgsino_N2C1plus_13p6::mc1_100_mn1_99p6_mn2_100p4,24.54,0,3.7557319,0.0028838193,NNLO+NNLL,3.7557319,0.0028838193,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_99p6_mn2_100p4/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_99p5_mn2_100p5,100,99.5,100.5,mc1_100_mn1_99p5_mn2_100p5,higgsino_N2C1plus_13p6::mc1_100_mn1_99p5_mn2_100p5,24.21,0,3.7489414,0.0028787611,NNLO+NNLL,3.7489414,0.0028787611,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_99p5_mn2_100p5/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_99p25_mn2_100p75,100,99.25,100.75,mc1_100_mn1_99p25_mn2_100p75,higgsino_N2C1plus_13p6::mc1_100_mn1_99p25_mn2_100p75,23.63,0,3.7321589,0.0028660027,NNLO+NNLL,3.7321589,0.0028660027,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_99p25_mn2_100p75/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_99_mn2_101,100,99,101,mc1_100_mn1_99_mn2_101,higgsino_N2C1plus_13p6::mc1_100_mn1_99_mn2_101,23.41,0,3.7154266,0.0028526409,NNLO+NNLL,3.7154266,0.0028526409,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_99_mn2_101/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_98p5_mn2_101p5,100,98.5,101.5,mc1_100_mn1_98p5_mn2_101p5,higgsino_N2C1plus_13p6::mc1_100_mn1_98p5_mn2_101p5,23.54,0,3.6821969,0.0028247724,NNLO+NNLL,3.6821969,0.0028247724,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_98p5_mn2_101p5/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_97p5_mn2_102p5,100,97.5,102.5,mc1_100_mn1_97p5_mn2_102p5,higgsino_N2C1plus_13p6::mc1_100_mn1_97p5_mn2_102p5,23.35,0,3.6168885,0.00277151,NNLO+NNLL,3.6168885,0.00277151,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_97p5_mn2_102p5/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_97_mn2_103,100,97,103,mc1_100_mn1_97_mn2_103,higgsino_N2C1plus_13p6::mc1_100_mn1_97_mn2_103,23.41,0,3.5846176,0.0027634587,NNLO+NNLL,3.5846176,0.0027634587,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_97_mn2_103/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_96p25_mn2_103p75,100,96.25,103.75,mc1_100_mn1_96p25_mn2_103p75,higgsino_N2C1plus_13p6::mc1_100_mn1_96p25_mn2_103p75,23.88,0,3.5370451,0.0026994732,NNLO+NNLL,3.5370451,0.0026994732,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_96p25_mn2_103p75/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_95_mn2_105,100,95,105,mc1_100_mn1_95_mn2_105,higgsino_N2C1plus_13p6::mc1_100_mn1_95_mn2_105,23.43,0,3.4595523,0.0026389684,NNLO+NNLL,3.4595523,0.0026389684,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_95_mn2_105/resummino.log
